breakfast ,grade
4일 이상 7일 이하,상
1일 미만,중
1일 미만,하
4일 이상 7일 이하,상
4일 이상 7일 이하,중
4일 이상 7일 이하,상
4일 이상 7일 이하,중
1일 미만,하
1일 미만,중
1일 이상 3일 이하,중
1일 미만,하
1일 미만,상
1일 미만,중
4일 이상 7일 이하,상
4일 이상 7일 이하,상
4일 이상 7일 이하,상
4일 이상 7일 이하,상
4일 이상 7일 이하,하
4일 이상 7일 이하,중
1일 미만,중
1일 미만,하
1일 이상 3일 이하,중
1일 이상 3일 이하,하
4일 이상 7일 이하,상
4일 이상 7일 이하,하
4일 이상 7일 이하,중
1일 이상 3일 이하,중
1일 이상 3일 이하,상
1일 이상 3일 이하,하
1일 미만,하
1일 미만,중
1일 미만,하
4일 이상 7일 이하,상
4일 이상 7일 이하,상
4일 이상 7일 이하,중
1일 이상 3일 이하,하
1일 이상 3일 이하,중
4일 이상 7일 이하,상
4일 이상 7일 이하,하
1일 미만,하
1일 미만,하
1일 이상 3일 이하,하
1일 미만,중
4일 이상 7일 이하,상
4일 이상 7일 이하,하
1일 미만,하
4일 이상 7일 이하,상
1일 이상 3일 이하,하
1일 이상 3일 이하,중
4일 이상 7일 이하,상
1일 미만,하
4일 이상 7일 이하,하
1일 이상 3일 이하,상
1일 미만,하
4일 이상 7일 이하,상
1일 이상 3일 이하,중
1일 미만,중
1일 미만,하
1일 이상 3일 이하,하
1일 미만,하
1일 이상 3일 이하,하
1일 미만,중
4일 이상 7일 이하,상
1일 미만,하
1일 이상 3일 이하,하
1일 이상 3일 이하,상
4일 이상 7일 이하,상
1일 미만,하
4일 이상 7일 이하,하
1일 이상 3일 이하,하
1일 이상 3일 이하,중
1일 미만,하
1일 미만,중
1일 미만,하
4일 이상 7일 이하,하
4일 이상 7일 이하,상
1일 이상 3일 이하,중
4일 이상 7일 이하,상
1일 미만,하
4일 이상 7일 이하,상
1일 미만,하
4일 이상 7일 이하,중
4일 이상 7일 이하,상
1일 미만,중
1일 미만,하
1일 미만,중
1일 미만,하
1일 미만,하
4일 이상 7일 이하,상
1일 이상 3일 이하,하
4일 이상 7일 이하,중
4일 이상 7일 이하,상
1일 미만,하
1일 미만,하
1일 미만,중
1일 이상 3일 이하,중
4일 이상 7일 이하,상
1일 미만,하
1일 이상 3일 이하,중
1일 미만,하
1일 미만,하
4일 이상 7일 이하,상
1일 이상 3일 이하,하